candidate_id,objective,success_rate,avg_cost,avg_time,avg_science,avg_runtime,w_science,w_explore,w_battery,w_obstacle,w_path,w_recovery,best_objective_so_far,best_objective_success_rate,best_objective_avg_science,best_success_rate_so_far,best_success_objective,best_success_avg_science,best_success_w_science,best_success_w_explore,best_success_w_battery,best_success_w_obstacle,best_success_w_path,best_success_w_recovery
0,-976.7761783000004,1.0,518.9,6.565,5.4,3.7537643399999068,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079,-976.7761783000004,1.0,5.4,1.0,-976.7761783000004,5.4,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
1,-999.4486706999965,1.0,273.4,3.4300000000000006,3.6,1.1562658600007125,1.1616722433639892,8.661761457749352,6.051038616257767,227.01814444901137,0.41168988591604894,29.09729556485983,-999.4486706999965,1.0,3.6,1.0,-976.7761783000004,5.4,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
2,-1024.5488491500014,1.0,304.7,3.84,6.8,1.8282301699997334,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136,-1024.5488491500014,1.0,6.8,1.0,-976.7761783000004,5.4,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
3,-1018.5463419999985,1.0,275.0,3.45,5.7,1.5007316000002902,8.638900372842315,2.9122914019804194,6.157343657751556,84.87346516301045,5.842892970704363,10.99085529881075,-1024.5488491500014,1.0,6.8,1.0,-976.7761783000004,5.4,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
4,-912.8706717611103,0.9,291.44444444444446,3.6555555555555554,8.11111111111111,7.088087870000163,9.12139968434072,7.851759613930136,2.0767704433677614,178.5586096034029,11.84829137724085,1.3935123815999317,-1024.5488491500014,1.0,6.8,1.0,-976.7761783000004,5.4,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
5,-1027.5432800499943,1.0,289.4,3.6300000000000003,6.7,1.3773439900011,12.150897038028766,1.7052412368729153,0.7440107705542672,287.2213843133333,19.312640661491187,24.251920443493834,-1027.5432800499943,1.0,6.7,1.0,-976.7761783000004,5.4,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
6,-875.6304089333336,0.9,268.3333333333333,3.3666666666666667,4.333333333333333,7.500584879999951,6.092275383467413,0.9767211400638387,6.873906962470353,160.03812343490034,2.4407646968955765,14.855307303338105,-1027.5432800499943,1.0,6.7,1.0,-976.7761783000004,5.4,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
7,-1005.0617399999998,1.0,274.6,3.4450000000000003,4.4,1.606652000000031,0.6877704223043679,9.093204020787821,2.6619218178401676,215.6305710884955,6.2342215217882195,15.602040635334324,-1027.5432800499943,1.0,6.7,1.0,-976.7761783000004,5.4,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
8,-878.5816559666632,0.9,277.22222222222223,3.477777777777778,4.666666666666667,7.3770021400006955,10.934205586865593,1.8485445552552704,9.69888781486913,243.78320584027864,18.789978831283783,26.844820512829465,-1027.5432800499943,1.0,6.7,1.0,-976.7761783000004,5.4,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
9,-1037.4194095000062,1.0,314.2,3.94,8.4,2.244118099998741,11.957999576221702,9.218742350231167,0.976075770314003,98.9957156047863,0.9045457782107613,9.759909922897931,-1037.4194095000062,1.0,8.4,1.0,-976.7761783000004,5.4,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
