candidate_id,objective,success_rate,avg_cost,avg_time,avg_science,avg_runtime,w_science,w_explore,w_battery,w_obstacle,w_path,w_recovery,best_objective_so_far,best_objective_success_rate,best_objective_avg_science,best_success_rate_so_far,best_success_objective,best_success_avg_science,best_success_w_science,best_success_w_explore,best_success_w_battery,best_success_w_obstacle,best_success_w_path,best_success_w_recovery
0,-962.2759002052009,0.9666666666666667,414.6896551724138,5.244827586206897,6.103448275862069,3.742291223327629,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079,-962.2759002052009,0.9666666666666667,6.103448275862069,0.9666666666666667,-962.2759002052009,6.103448275862069,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
1,-947.3063109448806,0.9666666666666667,317.7931034482759,3.9913793103448283,3.0,2.7179332133227336,1.1616722433639892,8.661761457749352,6.051038616257767,227.01814444901137,0.41168988591604894,29.09729556485983,-962.2759002052009,0.9666666666666667,6.103448275862069,0.9666666666666667,-962.2759002052009,6.103448275862069,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
2,-1025.5936600666935,1.0,314.1333333333333,3.9549999999999996,6.9,1.6076013199946222,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136,-1025.5936600666935,1.0,6.9,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
3,-1010.2238528167129,1.0,316.93333333333334,3.9900000000000007,5.366666666666666,1.5518961033240581,8.638900372842315,2.9122914019804194,6.157343657751556,84.87346516301045,5.842892970704363,10.99085529881075,-1025.5936600666935,1.0,6.9,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
4,-951.2060138286513,0.9333333333333333,323.57142857142856,4.058928571428572,7.535714285714286,4.213678186650698,9.12139968434072,7.851759613930136,2.0767704433677614,178.5586096034029,11.84829137724085,1.3935123815999317,-1025.5936600666935,1.0,6.9,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
5,-982.1197553085555,0.9666666666666667,311.13793103448273,3.913793103448276,6.586206896551724,3.076278823346365,12.150897038028766,1.7052412368729153,0.7440107705542672,287.2213843133333,19.312640661491187,24.251920443493834,-1025.5936600666935,1.0,6.9,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
6,-965.5661265649536,0.9666666666666667,315.51724137931035,3.960344827586207,4.9655172413793105,3.0487287099977647,6.092275383467413,0.9767211400638387,6.873906962470353,160.03812343490034,2.4407646968955765,14.855307303338105,-1025.5936600666935,1.0,6.9,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
7,-994.8071696834492,1.0,318.6,4.011666666666667,3.8333333333333335,1.5308993966435083,0.6877704223043679,9.093204020787821,2.6619218178401676,215.6305710884955,6.2342215217882195,15.602040635334324,-1025.5936600666935,1.0,6.9,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
8,-965.0811198396774,0.9666666666666667,312.7931034482759,3.927586206896552,4.896551724137931,3.0688335033288845,10.934205586865593,1.8485445552552704,9.69888781486913,243.78320584027864,18.789978831283783,26.844820512829465,-1025.5936600666935,1.0,6.9,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
9,-1028.557698550073,1.0,319.46666666666664,4.013333333333334,7.466666666666667,2.0297936233187404,11.957999576221702,9.218742350231167,0.976075770314003,98.9957156047863,0.9045457782107613,9.759909922897931,-1028.557698550073,1.0,7.466666666666667,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
10,-1007.2720642666496,1.0,318.93333333333334,4.003333333333334,5.233333333333333,1.8329204800034253,7.773545793789641,2.713490317738959,8.3045013406041,139.18833167339733,5.618690193747615,16.280882494747456,-1028.557698550073,1.0,7.466666666666667,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
11,-1012.0819516833507,1.0,323.73333333333335,4.066666666666666,5.833333333333333,1.96227632999653,2.818484499495253,8.021969807540398,0.8380513724297312,296.72173415012935,15.444895385933147,5.961470446025173,-1028.557698550073,1.0,7.466666666666667,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
12,-971.8598400333035,1.0,375.23333333333335,4.705,2.433333333333333,2.049031993339304,0.11044234247204798,8.154614284548341,7.097887704091409,232.25179201024682,15.425406933718914,2.2213395520227106,-1028.557698550073,1.0,7.466666666666667,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
13,-972.7909633442057,0.9666666666666667,334.0,4.2,5.931034482758621,3.1172096300094077,7.169314570885453,1.1586905952512971,8.644723916168376,205.82453170688947,6.617960497052984,1.906750508580709,-1028.557698550073,1.0,7.466666666666667,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
14,-1007.7062667166767,1.0,331.3333333333333,4.170000000000001,5.366666666666666,1.7314133233313138,6.219646434313244,3.2518332202674705,7.323101165546834,209.38936783880328,17.74425485152653,14.16644775485848,-1028.557698550073,1.0,7.466666666666667,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
15,-992.5718054499966,1.0,318.0,3.99,3.566666666666667,1.4609722433340115,2.391884918766034,7.13244787222995,7.631771981307285,190.31929939237406,15.41934359909122,14.813867890931721,-1028.557698550073,1.0,7.466666666666667,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
16,-987.4733864011298,0.9666666666666667,302.86206896551727,3.8120689655172413,6.758620689655173,2.5362422600039283,10.454656587639882,4.275410183585496,0.35164935476654235,76.97285674832611,0.628583713734685,19.092312337913413,-1028.557698550073,1.0,7.466666666666667,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
17,-967.6328715408596,0.9666666666666667,307.2413793103448,3.855172413793104,4.827586206896552,2.546069369988982,6.287119621526534,5.085706911647028,9.084908091868321,112.32305728721875,8.207658460712594,22.666534156291462,-1028.557698550073,1.0,7.466666666666667,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
18,-971.367574867215,0.9666666666666667,325.7586206896552,4.087931034482759,5.448275862068965,2.6236114633386025,4.575963309832449,0.7697990982879299,2.9685393838463034,90.30532181350111,18.59395304685146,24.243611386932507,-1028.557698550073,1.0,7.466666666666667,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
19,-971.6889425276232,0.9666666666666667,301.9310344827586,3.789655172413794,5.379310344827586,2.957613793325921,12.66807513020847,8.714605901877178,8.056353561301233,96.64251472150896,17.851179969799556,16.18026725746952,-1028.557698550073,1.0,7.466666666666667,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
