candidate_id,seed,runtime_sec,failure_mode,total_cost,total_time,small_science_value,w_science,w_explore,w_battery,w_obstacle,w_path,w_recovery
0,5,0.35635550000006333,0,255.0,3.2,0,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
0,0,1.0394367999979295,0,263.0,3.3000000000000003,4,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
0,3,1.05782100000215,0,283.0,3.5500000000000003,2,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
0,1,1.4827507000009064,0,243.0,3.0500000000000003,3,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
0,2,1.517401199998858,0,259.0,3.25,6,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
0,7,1.8711073999947985,0,283.0,3.5500000000000003,8,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
0,4,2.52535060000082,0,255.0,3.2,13,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
0,9,2.3994737999964855,0,263.0,3.3000000000000003,2,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
0,8,2.989722800004529,0,371.0,4.65,13,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
0,6,22.29822360000253,0,2714.0,34.6,3,7.49080237694725,9.50714306409916,7.34674002393291,199.66462104925915,3.1203728088487304,4.679835610086079
1,5,0.12334540000301786,0,255.0,3.2,0,1.1616722433639892,8.661761457749352,6.051038616257767,227.01814444901137,0.41168988591604894,29.09729556485983
1,0,0.3397994999977527,0,263.0,3.3000000000000003,0,1.1616722433639892,8.661761457749352,6.051038616257767,227.01814444901137,0.41168988591604894,29.09729556485983
1,3,0.6535165000022971,0,283.0,3.5500000000000003,2,1.1616722433639892,8.661761457749352,6.051038616257767,227.01814444901137,0.41168988591604894,29.09729556485983
1,2,0.8642294000019319,0,259.0,3.25,6,1.1616722433639892,8.661761457749352,6.051038616257767,227.01814444901137,0.41168988591604894,29.09729556485983
1,7,1.023327299997618,0,279.0,3.5,0,1.1616722433639892,8.661761457749352,6.051038616257767,227.01814444901137,0.41168988591604894,29.09729556485983
1,1,1.2307885000045644,0,243.0,3.0500000000000003,3,1.1616722433639892,8.661761457749352,6.051038616257767,227.01814444901137,0.41168988591604894,29.09729556485983
1,9,1.3585401000018464,0,247.0,3.1,0,1.1616722433639892,8.661761457749352,6.051038616257767,227.01814444901137,0.41168988591604894,29.09729556485983
1,8,1.833499499996833,0,359.0,4.5,9,1.1616722433639892,8.661761457749352,6.051038616257767,227.01814444901137,0.41168988591604894,29.09729556485983
1,4,1.942430900002364,0,263.0,3.3000000000000003,13,1.1616722433639892,8.661761457749352,6.051038616257767,227.01814444901137,0.41168988591604894,29.09729556485983
1,6,2.1931814999989,0,283.0,3.5500000000000003,3,1.1616722433639892,8.661761457749352,6.051038616257767,227.01814444901137,0.41168988591604894,29.09729556485983
2,5,0.32157249999727355,0,255.0,3.2,0,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
2,0,0.7510074000019813,0,267.0,3.35,4,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
2,3,0.67676599999686,0,283.0,3.5500000000000003,2,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
2,2,1.2673208999985945,0,259.0,3.25,6,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
2,1,1.5790981000027386,0,243.0,3.0500000000000003,3,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
2,9,1.5927557999966666,0,255.0,3.2,2,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
2,7,1.8095144999970216,0,279.0,3.5,8,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
