planner_type,original_candidate_id,finalist_id,objective,success_rate,avg_cost,avg_time,avg_science,avg_runtime,old_objective,old_success_rate,old_avg_science,params
cross_entropy,0,0,-859.2220400169222,0.93,398.1182795698925,5.014516129032257,3.924731182795699,13.039785545002669,-958.6390550333758,1.0,3.0,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,15,1,-833.4766525061577,0.94,390.2659574468085,4.9180851063829785,4.6063829787234045,21.728499286002478,-940.9668436333568,1.0,3.8,"{'horizon': 15, 'num_samples': 25, 'num_elites': 22, 'iterations': 10, 'smoothing': 0.4828687548948174}"
cross_entropy,10,2,-805.1274786119346,0.92,395.6521739130435,5.01304347826087,6.782608695652174,27.62406949500437,-737.9045870690971,0.8666666666666667,2.3076923076923075,"{'horizon': 15, 'num_samples': 39, 'num_elites': 13, 'iterations': 5, 'smoothing': 0.8657121423347887}"
genetic,11,3,-822.7811432343404,0.92,369.1630434782609,4.646195652173914,8.771739130434783,28.674749614001485,-846.5801812856869,0.9333333333333332,3.928571428571429,"{'horizon': 7, 'population_size': 67, 'generations': 6, 'elite_fraction': 0.178264074604001, 'mutation_rate': 0.2655762726086655, 'crossover_rate': 0.8325639545512775}"
genetic,9,4,-787.2981855055273,0.89,363.8876404494382,4.604494382022472,8.55056179775281,29.44283480900689,-790.3653653524294,0.9333333333333332,3.071428571428572,"{'horizon': 8, 'population_size': 59, 'generations': 6, 'elite_fraction': 0.25324031750275916, 'mutation_rate': 0.1428533129653752, 'crossover_rate': 0.9640800654746671}"
genetic,8,5,-792.5359937138926,0.9,348.1111111111111,4.416666666666667,8.066666666666666,29.780579034999246,-733.3094676410011,0.8666666666666667,3.4615384615384617,"{'horizon': 5, 'population_size': 39, 'generations': 10, 'elite_fraction': 0.19157784449276655, 'mutation_rate': 0.3129641325911167, 'crossover_rate': 0.9105570692605076}"
simulated_annealing,6,6,-913.1794661649968,0.96,454.4479166666667,5.763020833333333,5.125,9.372544267000631,-988.8563128333554,1.0,4.533333333333333,"{'horizon': 14, 'iterations': 73, 'initial_temp': 16.218465147493283, 'cooling': 0.9059805360401357}"
simulated_annealing,18,7,-867.8139889302502,0.92,401.0978260869565,5.066304347826087,5.108695652173913,11.619376126993448,-973.1322243333376,1.0,3.333333333333333,"{'horizon': 14, 'iterations': 65, 'initial_temp': 9.59193166541839, 'cooling': 0.8731373714688203}"
simulated_annealing,19,8,-825.5875875187029,0.91,378.84615384615387,4.75989010989011,5.175824175824176,18.705229749006683,-958.2875080665154,1.0,2.6666666666666665,"{'horizon': 11, 'iterations': 95, 'initial_temp': 13.278642940484719, 'cooling': 0.9052834125445798}"
