planner_type,num_trials,success_rate,avg_science,std_science,avg_cost,avg_runtime,std_runtime,science_ci95,runtime_ci95
cross_entropy,300,0.93,4.8133333333333335,4.5121710792459435,56667100.36666667,20.797451442003172,28.489981508528164,0.5106002246975287,3.2239449046586137
genetic,300,0.9033333333333333,7.81,5.33248077076407,76667070.78,29.299387819335873,42.259547258365735,0.6034270048560312,4.7821179531480364
simulated_annealing,300,0.93,4.883333333333334,4.672883659426729,60000433.343333334,13.232383381000254,27.326736181392217,0.5287865651777177,3.0923113041185335
