planner_type,candidate_id,seed,runtime_sec,failure_mode,total_cost,total_time,small_science_value,params
cross_entropy,0,30,5.241141999955289,0,402.0,5.050000000000001,4,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,31,8.545073100016452,0,403.0,5.15,9,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,32,2.5004526999546215,0,347.0,4.3500000000000005,0,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,33,12.038370899972506,0,567.0,7.1000000000000005,4,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,34,5.256235899985768,0,303.0,3.8000000000000003,4,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,35,4.587941900012083,0,311.0,3.9000000000000004,4,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,36,1.9660612000152469,0,243.0,3.0500000000000003,0,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,37,4.804904499906115,0,347.0,4.3500000000000005,4,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,38,4.727890399983153,0,463.0,5.95,9,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,39,10.013018200057559,0,439.0,5.5,10,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,40,2.3901535000186414,0,319.0,4.0,0,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,41,1.8643828999483958,0,251.0,3.1500000000000004,1,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,42,1.4895015000365674,0,299.0,3.75,0,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,43,2.2340545000042766,0,263.0,3.3000000000000003,0,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,44,7.910513199982233,0,359.0,4.5,10,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,45,11.740151700098068,0,512.0,6.45,4,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,46,28.178276600083336,0,1027.0,12.850000000000001,13,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,47,8.087226299918257,0,451.0,5.65,0,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,48,4.9705923000583425,0,339.0,4.25,1,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,49,2.671942999935709,0,279.0,3.5,0,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,50,4.427436700090766,0,423.0,5.300000000000001,0,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,51,3.365221899934113,0,395.0,4.95,0,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,52,6.831263800035231,0,355.0,4.45,1,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,53,3.6630551000125706,0,275.0,3.45,0,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,54,6.342398199951276,0,499.0,6.25,1,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,55,3.893950599944219,0,391.0,4.9,5,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
cross_entropy,0,56,4.294544999953359,0,371.0,4.65,8,"{'horizon': 13, 'num_samples': 32, 'num_elites': 26, 'iterations': 4, 'smoothing': 0.7241144063085703}"
