planner_type,candidate_id,objective,success_rate,avg_cost,avg_time,avg_science,avg_runtime,params,best_objective_so_far,best_success_rate_so_far
simulated_annealing,0,-778.9154406512766,0.8666666666666667,548.1538461538462,6.926923076923076,3.3076923076923075,11.817168280001109,"{'horizon': 9, 'iterations': 76, 'initial_temp': 28.57071488588757, 'cooling': 0.9524791518535967}",-778.9154406512766,0.8666666666666667
simulated_annealing,1,-891.9026429381033,0.9333333333333333,463.64285714285717,5.814285714285715,4.0,5.85042379333172,"{'horizon': 15, 'iterations': 45, 'initial_temp': 5.524540572830659, 'cooling': 0.8718392328470683}",-891.9026429381033,0.9333333333333333
simulated_annealing,2,-898.9188448952777,0.9333333333333333,374.7142857142857,4.696428571428571,3.857142857142857,6.163611973325412,"{'horizon': 13, 'iterations': 99, 'initial_temp': 26.11910822747312, 'cooling': 0.9341561016440492}",-898.9188448952777,0.9333333333333333
simulated_annealing,3,-853.1957718858207,0.9333333333333333,699.2142857142857,8.764285714285714,3.357142857142857,7.004655146645382,"{'horizon': 10, 'iterations': 27, 'initial_temp': 1.596950334578271, 'cooling': 0.9857873793026792}",-898.9188448952777,0.9333333333333333
simulated_annealing,4,-875.3008622999536,0.9333333333333333,556.0,6.982142857142857,3.7857142857142856,6.6614942066759495,"{'horizon': 14, 'iterations': 54, 'initial_temp': 7.157834209670009, 'cooling': 0.875455495408994}",-898.9188448952777,0.9333333333333333
simulated_annealing,5,-892.4361810762215,0.9333333333333333,468.14285714285717,5.924999999999999,3.7857142857142856,5.203001879993826,"{'horizon': 7, 'iterations': 57, 'initial_temp': 9.823025045826594, 'cooling': 0.9234659004285133}",-898.9188448952777,0.9333333333333333
simulated_annealing,6,-988.8563128333554,1.0,367.0,4.61,4.533333333333333,3.0334040999955807,"{'horizon': 14, 'iterations': 73, 'initial_temp': 16.218465147493283, 'cooling': 0.9059805360401357}",-988.8563128333554,1.0
simulated_annealing,7,-889.5647274618924,0.9333333333333333,411.2142857142857,5.171428571428572,4.857142857142857,9.209435460002473,"{'horizon': 14, 'iterations': 84, 'initial_temp': 11.62449345551706, 'cooling': 0.913849797790385}",-988.8563128333554,1.0
simulated_annealing,8,-872.4867560380106,0.9333333333333333,659.7857142857143,8.260714285714284,4.928571428571429,7.178601173350277,"{'horizon': 5, 'iterations': 79, 'initial_temp': 29.513695688396858, 'cooling': 0.9153468050547172}",-988.8563128333554,1.0
simulated_annealing,9,-859.9477194000657,0.9333333333333333,540.1428571428571,6.764285714285714,4.142857142857143,10.807122786653538,"{'horizon': 7, 'iterations': 75, 'initial_temp': 20.72891861904561, 'cooling': 0.913069895275736}",-988.8563128333554,1.0
simulated_annealing,10,-951.8588244999526,1.0,584.5333333333333,7.496666666666668,3.2,2.8382351000094785,"{'horizon': 4, 'iterations': 28, 'initial_temp': 28.32385091486073, 'cooling': 0.9288603504983755}",-988.8563128333554,1.0
