planner_type,candidate_id,seed,runtime_sec,failure_mode,total_cost,total_time,small_science_value,params
cross_entropy,1,1,17.616337200044654,0,643.0,8.05,0,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}"
cross_entropy,1,2,17.661095099989325,0,643.0,8.05,0,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}"
cross_entropy,1,3,17.566941699944437,0,643.0,8.05,0,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}"
cross_entropy,1,4,17.57297180010937,0,643.0,8.05,0,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}"
cross_entropy,2,0,17.56338720000349,0,643.0,8.05,0,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}"
cross_entropy,2,1,17.57983410009183,0,643.0,8.05,0,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}"
cross_entropy,2,2,17.518291300046258,0,643.0,8.05,0,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}"
cross_entropy,2,3,17.55328480002936,0,643.0,8.05,0,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}"
cross_entropy,2,4,17.51161539996974,0,643.0,8.05,0,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}"
cross_entropy,3,0,17.612955500022508,0,643.0,8.05,0,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}"
cross_entropy,3,1,17.62108620000072,0,643.0,8.05,0,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}"
cross_entropy,3,2,17.523222799994983,0,643.0,8.05,0,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}"
cross_entropy,3,3,17.665657800040208,0,643.0,8.05,0,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}"
cross_entropy,3,4,17.465128800016828,0,643.0,8.05,0,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}"
cross_entropy,4,0,17.63931999995839,0,643.0,8.05,0,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}"
cross_entropy,4,1,17.540758999995887,0,643.0,8.05,0,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}"
cross_entropy,4,2,17.67303229996469,0,643.0,8.05,0,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}"
