planner_type,candidate_id,objective,success_rate,avg_cost,avg_time,avg_science,avg_runtime,params,best_objective_so_far,best_success_rate_so_far
simulated_annealing,0,-719.7716613000957,0.8,336.0,4.2125,3.5,15.483167739980853,"{'horizon': 9, 'iterations': 204, 'initial_temp': 28.57071488588757, 'cooling': 0.9524791518535967}",-719.7716613000957,0.8
simulated_annealing,1,-962.5634469001415,1.0,645.6,8.1,4.6,2.155310619971715,"{'horizon': 15, 'iterations': 45, 'initial_temp': 5.524540572830659, 'cooling': 0.8718392328470683}",-962.5634469001415,1.0
simulated_annealing,2,-722.6685811000411,0.8,323.0,4.05,3.5,15.196283779991791,"{'horizon': 13, 'iterations': 227, 'initial_temp': 26.11910822747312, 'cooling': 0.9341561016440492}",-962.5634469001415,1.0
simulated_annealing,3,-945.0109964000062,1.0,363.0,4.55,1.4,5.627800719998777,"{'horizon': 10, 'iterations': 155, 'initial_temp': 1.596950334578271, 'cooling': 0.9857873793026792}",-962.5634469001415,1.0
simulated_annealing,4,-610.2001644001109,0.8,695.0,8.7,2.25,26.81996711997781,"{'horizon': 14, 'iterations': 182, 'initial_temp': 7.157834209670009, 'cooling': 0.875455495408994}",-962.5634469001415,1.0
cross_entropy,0,-722.3241257998626,0.8,322.0,4.0375,4.5,17.287674840027467,"{'horizon': 14, 'num_samples': 45, 'num_elites': 3, 'iterations': 11, 'smoothing': 0.6148538589793427}",-722.3241257998626,0.8
cross_entropy,1,-659.344595600036,0.8,381.5,4.7875,4.0,27.543580879992806,"{'horizon': 13, 'num_samples': 113, 'num_elites': 19, 'iterations': 11, 'smoothing': 0.32799939792816923}",-722.3241257998626,0.8
cross_entropy,2,-696.1323986000149,0.8,309.0,3.875,3.5,20.818520279997028,"{'horizon': 5, 'num_samples': 212, 'num_elites': 18, 'iterations': 8, 'smoothing': 0.8899385314840731}",-722.3241257998626,0.8
cross_entropy,3,-626.3812447999836,0.8,437.0,5.475000000000001,4.75,34.388751040003264,"{'horizon': 5, 'num_samples': 155, 'num_elites': 7, 'iterations': 8, 'smoothing': 0.40231447421237493}",-722.3241257998626,0.8
cross_entropy,4,-323.1101138334566,0.6,327.0,4.1000000000000005,4.333333333333333,56.68464389997534,"{'horizon': 6, 'num_samples': 191, 'num_elites': 20, 'iterations': 10, 'smoothing': 0.8793792198447357}",-722.3241257998626,0.8
genetic,0,-615.2639213998801,0.8,387.0,4.85,4.75,37.73721572002396,"{'horizon': 7, 'population_size': 149, 'generations': 22, 'elite_fraction': 0.1343589131091041, 'mutation_rate': 0.24547696121240117, 'crossover_rate': 0.7659979946695725}",-615.2639213998801,0.8
genetic,1,-697.3774887001374,0.8,334.75,4.2,2.5,17.989502259972504,"{'horizon': 5, 'population_size': 100, 'generations': 6, 'elite_fraction': 0.11378263072582183, 'mutation_rate': 0.26926926540482526, 'crossover_rate': 0.6550935246947469}",-697.3774887001374,0.8
genetic,2,-661.9923164000502,0.8,356.0,4.4625,3.5,26.589036719989963,"{'horizon': 6, 'population_size': 73, 'generations': 20, 'elite_fraction': 0.3212964881763901, 'mutation_rate': 0.3300346507161824, 'crossover_rate': 0.9368964102565893}",-697.3774887001374,0.8
genetic,3,-671.9603965000016,0.8,327.0,4.1000000000000005,3.5,25.247920699999668,"{'horizon': 10, 'population_size': 59, 'generations': 23, 'elite_fraction': 0.1860370513913187, 'mutation_rate': 0.10954518048538564, 'crossover_rate': 0.8972425054911576}",-697.3774887001374,0.8
genetic,4,-680.4299748003483,0.8,329.0,4.125000000000001,4.5,25.509005039930344,"{'horizon': 14, 'population_size': 143, 'generations': 15, 'elite_fraction': 0.09932347874116693, 'mutation_rate': 0.2847250036488331, 'crossover_rate': 0.44473038620786254}",-697.3774887001374,0.8
